-- t0
1	85	34.05	74	27.39	s11	2025-09-12 16:57:55
2	12	90.27	72	92.49	s11	2023-06-20 11:13:36
3	97	95.83	26	98.20	s11	2023-06-20 11:13:36
4	61	83.22	15	14.38	s11	2023-06-20 11:13:36
5	44	73.72	35	62.94	s11	2023-06-20 11:13:36
6	15	70.51	74	3.71	s11	2023-06-20 11:13:36
7	71	31.05	26	14.98	s11	2023-06-20 11:13:36
8	91	44.40	10	32.36	s11	2023-06-20 11:13:36
9	88	50.72	22	100.55	s11	2023-06-20 11:13:36
10	96	55.63	13	79.77	s11	2023-06-20 11:13:36
11	90	24.89	54	99.59	s11	2023-06-20 11:13:36
12	70	89.15	70	96.06	s11	2026-02-26 14:22:50
13	13	55.06	30	17.84	s11	2023-06-20 11:13:36
14	74	18.36	44	12.17	s11	2023-06-20 11:13:36
15	27	39.43	57	13.98	s11	2023-06-20 11:13:36
16	12	70.62	37	59.10	s11	2023-06-20 11:13:36
17	45	82.60	45	27.47	s11	2026-03-11 12:56:12
18	0	44.40	50	64.30	s11	2025-09-12 16:57:55
19	1	69.40	9	55.60	s11	2023-06-20 11:13:36
20	1	96.47	17	18.69	s11	2023-06-20 11:13:36
21	52	82.47	87	39.97	s11	2023-06-20 11:13:36
22	15	67.19	85	84.77	s11	2023-06-20 11:13:36
23	71	36.61	23	61.55	s11	2023-06-20 11:13:36
24	1	47.03	59	36.64	s11	2023-06-20 11:13:36
25	53	31.01	19	86.40	s11	2023-06-20 11:13:36
26	19	17.33	28	59.75	s11	2023-06-20 11:13:36
27	88	4.13	59	96.77	s11	2023-06-20 11:13:36
28	82	40.17	12	80.09	s11	2023-06-20 11:13:36
29	86	19.61	84	70.27	s11	2023-06-20 11:13:36
30	91	34.03	66	18.66	s11	2023-06-20 11:13:36
31	40	35.47	39	102.52	s11	2023-06-20 11:13:36
32	79	26.36	85	62.04	s11	2023-06-20 11:13:36
33	34	56.54	10	95.06	s11	2023-06-20 11:13:36
34	87	13.42	48	9.68	s11	2023-06-20 11:13:36
35	92	96.09	38	93.53	s11	2023-06-20 11:13:36
36	7	81.30	30	47.41	s11	2023-06-20 11:13:36
37	21	92.37	76	16.23	s11	2023-06-20 11:13:36
38	15	96.57	5	38.77	s11	2023-06-20 11:13:36
39	20	42.10	92	66.92	s11	2023-06-20 11:13:36
40	95	27.87	44	10.88	s11	2023-06-20 11:13:36
41	20	11.27	78	23.01	s11	2023-06-20 11:13:36
42	5	45.02	68	3.81	s11	2023-06-20 11:13:36
43	10	52.50	7	47.27	s11	2023-06-20 11:13:36
44	55	93.61	21	72.13	s11	2023-06-20 11:13:36
45	39	14.20	29	70.07	s11	2023-06-20 11:13:36
47	19	72.32	73	7.17	s11	2023-06-20 11:13:36
48	70	82.32	30	100.80	s11	2023-06-20 11:13:36
50	9	74.90	5	11.69	s11	2023-06-20 11:13:36
51	87	87.98	95	86.68	s11	2023-06-20 11:13:36
52	93	6.72	94	48.21	s11	2023-06-20 11:13:36

-- t1

-- t2
45	58	83.21	s88	2025-02-26 02:24:12
47	94	50.91	s88	2025-12-22 05:40:29
50	58	28.90	s88	2023-09-08 13:54:38
51	58	14.50	s88	2024-08-07 12:11:32
52	13	15.38	s88	2025-08-04 14:43:34
53	5	51.55	s88	2024-08-20 14:49:23
54	98	58.11	s88	2026-03-08 13:21:04
55	97	10.01	s84	2025-03-22 02:24:21
56	34	39.23	s8	2025-09-20 12:43:30
57	85	0.89	s11	2024-01-30 11:58:06
58	33	55.79	s56	2024-07-25 08:28:41
59	75	93.48	s67	2023-08-07 03:47:59
60	78	90.85	s18	2026-09-29 20:49:48
61	18	68.32	s59	2025-12-20 10:32:07

-- t3
104	91	65	53.51	100	2023-06-03 11:54:16	2025-01-01	85.07
107	99	4	17.17	36	2025-12-27 23:01:32	2025-06-23	44.06
109	6	82	44.02	29	2026-10-24 19:35:28	2025-06-23	83.32
110	56	37	53.28	83	2025-07-10 07:34:14	2026-08-24	51.61
111	74	61	85.62	6	2023-05-27 13:00:15	2025-06-23	61.79
112	67	67	56.51	52	2025-08-23 09:22:27	2025-06-23	70.12
113	79	66	34.14	63	2024-10-07 14:35:33	2025-06-23	77.9
114	73	39	1.17	56	2025-04-05 17:10:09	2025-05-25	42.31
115	88	86	84.08	83	2024-01-24 12:55:20	2025-05-17	28.57
116	77	91	23.60	73	2024-10-18 00:27:14	2026-09-03	18.39
117	53	53	90.18	88	2023-02-11 10:18:38	2024-12-20	25.9

-- t4
50	62.41	2026-07-11	0	61.38	5.76	87.12	0
51	13.47	2025-07-03	1	65.16	55.43	89.36	0
52	92.62	2023-10-25	0	56.81	92.31	87.40	1
53	30.45	2023-04-30	1	97.74	24.16	89.73	0
54	76.39	2026-07-18	1	17.14	81.95	81.13	1
55	26.37	2023-08-28	0	76.10	62.82	32.10	1
56	85.63	2024-09-18	0	18.26	30.41	50.33	0
57	81.96	2025-11-15	0	54.75	38.59	8.42	1
58	46.04	2024-03-08	0	11.92	91.24	54.73	1
59	68.71	2024-07-01	1	14.23	2	37.23	0
60	15.82	2023-10-05	1	6.37	49.52	78.77	0
61	5.29	2025-11-26	1	30.82	70.51	34.74	0
62	32	2024-10-16	0	77.79	1.46	73.85	0
63	26.08	2025-04-07	0	46.01	48.33	84.86	0
64	50.53	2026-07-26	1	0.24	57.8	16.21	0
65	51.59	2026-11-09	0	8.34	10.02	49.89	0
66	15.57	2026-12-16	0	85.47	20.33	71.96	0
68	92.91	2023-05-04	0	90.00	43.16	55.00	0
69	3.12	2025-12-24	0	20.37	52.72	62.87	0
72	64.62	2025-10-17	1	3.91	46.64	12.06	1
73	73.8	2025-01-30	1	29.05	20.23	25.17	1
74	23.72	2025-04-22	1	39.38	9.4	28.77	0
75	57.96	2026-01-29	0	47.96	32.47	17.61	0
76	8.09	2023-09-04	0	66.87	76.52	39.87	0
78	40.01	2025-11-23	0	83.99	13.21	40.53	0
79	96.85	2023-06-21	1	31.79	9.13	12.58	1
80	6.52	2026-08-10	1	86.43	99.23	44.42	0
81	19.66	2023-11-12	0	63.51	85.68	22.24	1
82	11.3	2025-01-31	1	12.10	96.2	70.22	1
83	66.87	2025-06-13	1	32.94	86.53	70.55	0
84	86.28	2024-01-18	1	40.57	74.92	11.85	0
85	62.52	2025-10-25	1	70.94	92.98	12.53	1
86	85.48	2023-10-18	0	94.84	27.18	83.96	0
87	54.57	2024-07-15	0	88.33	71.79	53.31	0
88	84.72	2025-09-18	0	52.12	95.87	25.76	0
89	82.23	2023-05-21	1	76.54	20.72	45.97	1
90	53.94	2024-09-20	0	72.44	78.14	14.92	0
91	12.74	2026-10-17	1	64.47	46.1	50.34	0
92	38.78	2023-05-03	1	45.27	93.4	96.10	0
93	53.43	2026-03-15	0	0.44	18.16	36.95	0
94	81.54	2023-12-08	1	93.67	23.7	41.49	1
95	89.22	2023-04-04	0	9.11	1.92	31.00	1
96	53.18	2023-03-24	0	78.30	77.95	92.57	1
97	92.42	2026-07-30	1	73.00	60.93	96.05	0

-- t5

-- v0
0	NULL

-- v1
0	NULL

-- v2
0	NULL

-- v3

-- v4
0	NULL

