-- t0

-- t1
1	2025-10-10 19:06:08	50	2025-08-12 00:02:11	81	0
2	2023-04-03 03:25:13	59	2023-12-21 16:12:35	89	0
3	2024-06-30 14:06:59	72	2025-04-01 05:56:33	5	0
4	2025-01-31 23:37:50	54	2025-01-30 13:40:33	58	0
5	2025-04-27 04:33:20	96	2023-12-17 00:05:54	63	0
6	2025-03-04 00:50:29	76	2024-09-04 17:45:43	16	1
7	2026-12-02 18:06:31	37	2026-04-13 23:21:22	87	0
8	2025-05-07 17:10:38	73	2025-02-07 08:58:30	13	0
9	2023-11-17 21:13:15	33	2025-07-15 17:59:25	35	0
10	2024-04-10 17:56:31	53	2023-08-29 07:42:34	41	1
11	2023-07-03 06:48:07	77	2023-04-22 07:09:51	36	0
12	2026-12-15 18:59:54	74	2024-06-02 22:18:21	58	1
13	2025-04-04 19:05:12	34	2024-09-28 22:29:38	82	0
14	2024-10-19 16:32:51	24	2025-06-06 21:05:55	20	0
15	2025-12-03 09:50:25	8	2025-11-01 08:01:46	16	0
16	2025-01-28 13:43:42	3	2023-04-08 16:43:50	31	0
17	2023-12-01 12:04:45	36	2025-02-07 04:34:12	17	0
18	2025-08-07 03:44:01	6	2026-09-21 03:54:40	70	0
19	2024-07-24 15:22:30	64	2025-10-22 03:16:03	18	0
20	2025-04-14 18:10:51	21	2023-11-19 13:51:17	83	1
21	2026-07-27 12:46:15	36	2025-03-09 05:13:50	66	1
22	2026-11-04 12:25:30	89	2023-03-17 02:13:10	99	1
23	2023-09-14 03:28:17	8	2024-02-06 14:39:05	9	0
24	2024-07-18 10:43:22	53	2025-01-17 20:35:17	72	0
25	2025-09-28 05:26:09	83	2026-08-19 10:35:12	96	1
26	2025-11-19 05:33:04	56	2024-02-24 12:23:48	86	0
27	2023-08-04 07:32:34	22	2023-11-03 16:35:05	22	0
28	2023-11-03 00:38:15	57	2024-03-15 18:26:53	73	0
29	2024-05-02 15:40:41	84	2025-03-07 10:47:11	49	0
30	2023-11-08 14:49:30	33	2025-07-28 12:17:53	59	0
31	2023-01-12 10:31:35	92	2026-09-10 15:50:04	62	0
32	2025-02-09 01:32:07	1	2023-10-07 15:32:58	99	0
33	2024-02-07 12:36:06	25	2023-11-17 14:28:53	97	0
34	2024-04-26 19:18:30	27	2023-10-13 17:28:36	10	1
35	2023-05-14 06:30:59	14	2026-07-22 14:51:52	2	0
36	2026-04-04 01:03:36	63	2023-06-14 05:12:29	7	0
37	2023-06-09 01:45:03	82	2024-10-12 06:16:39	52	0
38	2026-04-05 02:19:33	48	2025-03-16 07:10:14	30	1
39	2024-01-31 01:39:28	26	2024-12-13 02:39:21	98	1
40	2023-10-25 04:02:41	87	2025-10-24 04:16:59	16	1
41	2024-12-04 13:21:41	94	2025-03-01 07:44:27	20	1
42	2024-01-16 22:00:30	41	2023-01-30 02:36:41	83	1
43	2023-07-31 09:08:31	35	2023-09-21 01:31:04	50	1

-- t2

-- t3
1	0	s19	44.77	2023-07-11	2026-06-09 00:22:53
2	0	s28	66.97	2026-11-21	2024-02-15 02:30:03
3	1	s42	22.65	2023-11-10	2023-02-04 21:42:07
4	0	s0	6.24	2024-01-24	2023-03-14 16:33:32
5	1	s23	15.38	2023-08-07	2026-10-10 17:14:11
6	1	s80	67.94	2024-02-11	2025-03-05 21:08:18
7	0	s65	39.61	2025-06-30	2026-07-20 05:26:08
8	0	s49	62.26	2026-05-28	2023-01-05 03:46:13

-- v0
0	NULL

-- v1

-- v2
0	NULL

-- v3
0	NULL

-- v4

