-- t0

-- t1
622	0	0	34.66	2026-07-18 11:49:24	2023-10-29 21:32:52	19.27
623	0	0	85.45	2023-08-16 22:07:32	2023-02-21 04:47:03	36.75
629	0	1	82.66	2026-01-01 05:41:11	2025-03-08 02:24:05	8.18
633	1	1	36.37	2025-06-14 16:59:38	2023-07-10 20:15:36	26.73
634	0	0	55.09	2025-06-17 09:36:58	2023-09-08 07:32:34	44.22
636	0	0	79.65	2024-01-03 02:07:19	2023-07-03 07:09:03	2.65
637	1	0	57.29	2025-01-24 11:17:10	2023-08-19 21:26:14	32.17
638	1	1	89.07	2025-11-04 02:04:47	2023-03-11 04:45:38	11.77
640	1	1	62.92	2026-06-26 18:12:46	2023-12-26 15:25:41	7.33
647	1	1	75.91	2026-03-22 03:57:18	2025-10-06 03:43:10	25.28
651	1	0	83.43	2024-11-20 17:41:26	2025-02-10 10:53:49	31.64
652	1	1	96.93	2023-05-01 19:13:55	2024-09-15 14:13:28	69.72
653	1	0	86.71	2024-03-01 13:35:07	2025-05-13 20:44:30	4.01
654	1	0	17.060001	2026-01-28 22:54:50	2023-09-27 13:11:24	14.11
655	0	1	78.76	2024-01-09 18:33:26	2024-09-26 05:37:30	50.08
657	0	1	92.97	2023-11-16 09:25:04	2026-05-14 18:39:08	65.86
658	1	1	81.39	2023-07-15 13:21:22	2023-07-05 23:23:51	8.97
659	1	0	28.88	2023-01-25 07:15:48	2023-04-10 07:25:21	26.25
660	1	0	57.43	2026-04-29 10:17:53	2025-06-28 15:31:29	93.99
661	1	1	65.68	2023-06-06 05:26:08	2024-05-15 04:45:37	75.06
662	0	0	62.38	2023-02-25 11:08:23	2023-04-11 08:27:08	90.70
663	0	1	59.06	2025-02-25 03:35:23	2025-01-18 04:17:24	13.48
664	0	0	16.03	2024-02-13 09:10:55	2026-04-11 12:33:17	39.71
665	1	1	56.4	2023-10-20 12:19:22	2023-09-16 21:15:57	50.10
666	0	1	30	2024-12-05 06:48:39	2025-06-28 15:31:29	67.65
667	1	1	35.5	2026-12-01 06:23:20	2026-02-17 13:06:27	78.50
668	1	0	37.5	2025-12-02 22:43:28	2026-06-07 00:21:41	29.92
669	0	0	1.61	2023-06-07 22:24:54	2023-04-09 05:06:09	89.93
670	0	1	78.79	2023-07-20 13:57:45	2026-01-18 16:48:38	61.69
671	1	0	75.32	2025-12-27 04:06:04	2026-06-17 23:14:40	4.39
672	0	0	74.46	2024-04-15 10:32:23	2024-04-03 07:36:01	13.77

-- t2

-- t3

-- t4

-- t5

-- v0

-- v1

-- v2

-- v4

-- v5

