-- t0
174	2024-01-16 00:04:36	8	11	29.03	1	39	2025-02-09
177	2023-10-03 04:38:17	20	48	29.01	1	98	2026-10-10
178	2024-01-04 19:51:36	0	82	88.10	1	0	2024-03-11
182	2024-05-22 04:01:21	97	40	58.98	1	63	2025-10-04
184	2024-05-24 20:35:34	6	24	60.42	1	84	2024-07-10
185	2024-01-09 10:05:23	68	88	24.13	1	10	2026-05-05
186	2026-04-09 21:08:28	68	28	63.05	1	65	2026-09-04
187	2023-02-06 12:39:12	21	66	54.81	1	45	2026-02-07
190	2024-06-09 14:08:23	72	48	67.15	1	8	2026-06-22
191	2026-02-28 23:12:31	62	81	74.01	1	59	2026-11-07
192	2025-09-09 23:46:28	27	42	83.31	1	57	2026-11-01
193	2026-09-03 22:38:48	37	62	27.57	0	73	2024-01-06
194	2023-11-21 15:42:21	60	36	48.45	1	7	2024-04-26

-- t1

-- t2

-- t3
109	76.16	84.72	10	47.26	13.26	38.27	25.19
110	48.75	68.68	6	61.28	82.72	62.88	40.09
111	97.31	27.84	7	52.95	80.25	53.96	77.92
115	81.3	85.48	58	80.98	85.3	84.69	33.35
119	69.54	55.78	11	16.32	34.96	61.51	35.57
122	52.94	85.88	6	53.02	44.84	61.84	82.62
124	93.91	69.23	42	82.99	50.94	68.33	28.23
130	59.75	41.25	6	32.37	71.57	92.91	19.11
133	93.97	93.30	16	87.95	72.56	50.81	8.21
135	49.24	83.18	13	35.11	49.84	37.42	19.28
136	85.96	56.01	11	26.01	81.33	59.64	39.01
137	3.64	63.21	49	96.86	1.07	52.56	43.18
138	83.42	16.56	18	2.37	39.03	20.38	62.69
139	37.51	97.48	34	11.75	64.1	97.57	15.93
140	46.15	96.98	12	4.34	96.21	45.25	87.37
141	36.57	24.93	8	34.68	30.49	59.09	20.15
142	24.64	55.24	12	62.40	34.92	16.78	64.94
143	51.32	20.73	13	36.20	61.06	42.42	66.14
144	30.35	94.54	55	33.02	39.69	67.82	37.92
145	7.85	43.88	3	74.14	76.79	12.89	43.81
146	64.770004	74.81	28	72.95	34.65	46.6	56.09
147	64.79	35.38	52	83.07	44.87	61.14	41.87
148	51.91	81.76	64	13.37	68.42	24.32	80.89
149	40.54	70.46	30	32.63	16.61	34.88	89.31
150	68.26	67.71	92	55.13	21.05	19.2	38.05
151	83.08	62.58	77	75.50	46.68	92.38	91.85
152	46.8	10.98	50	97.20	86.4	5.7	30.49
153	43.3	87.51	15	44.96	65.58	10.36	8.17
154	20.89	39.21	5	90.45	59.99	80.77	93.19
155	75.5	8.54	1	46.94	60.05	91.81	68.38
156	64.32	5.35	9	93.05	48.18	38.42	19.3

-- t4

-- t5

-- v0

-- v1

-- v3

-- v4

-- v5

