# Consolidate six disconnected leaves under one owner while distinguishing live fold/update/result paths from test-only merge, slide, distinct-int, and spill boundaries.
# old_owner new_owner source_path test_path test_line test_name retired_artifacts new_artifacts note
executor-avg-float64-wave	executor-core-aggregate-runtime	pkg/executor/aggfuncs/func_avg.go	-	-	-	rust/crates/tidb-exec/src/avg_float64.rs,rust/difftests/corpus/coverage/evidence/source/executor-avg-float64-wave.tsv	rust/crates/tidb-exec/src/aggregate/runtime/avg.rs,rust/difftests/corpus/coverage/evidence/source/executor-core-aggregate-runtime.tsv	Standalone float AVG state is deleted and retained as a test-only specialization beside the live canonical AVG fold.
executor-count-distinct-int-wave	executor-core-aggregate-runtime	pkg/executor/aggfuncs/func_count_distinct.go	-	-	-	rust/crates/tidb-exec/src/count_distinct_int.rs,rust/difftests/corpus/coverage/evidence/source/executor-count-distinct-int-wave.tsv	rust/crates/tidb-exec/src/aggregate/runtime/count.rs,rust/difftests/corpus/coverage/evidence/source/executor-core-aggregate-runtime.tsv	Standalone exact integer DISTINCT state is deleted and retained as a test-only specialized merge boundary; live dispatch uses the prerequisite tuple-key authority.
executor-count-partial-source-wave	executor-core-aggregate-runtime	pkg/executor/aggfuncs/func_count.go	-	-	-	rust/crates/tidb-exec/src/aggregate/count_partial.rs,rust/difftests/corpus/coverage/evidence/source/executor-count-partial-source-wave.tsv	rust/crates/tidb-exec/src/aggregate/runtime/count.rs,rust/difftests/corpus/coverage/evidence/source/executor-core-aggregate-runtime.tsv	COUNT partial state now has one authority directly consumed by aggregate and window folding.
executor-spill-count-wave	executor-core-aggregate-runtime	pkg/executor/aggfuncs/spill_serialize_helper.go	-	-	-	rust/crates/tidb-exec/src/spill_count.rs,rust/difftests/corpus/coverage/evidence/source/executor-spill-count-wave.tsv	rust/crates/tidb-exec/src/aggregate/runtime/spill.rs,rust/difftests/corpus/coverage/evidence/source/executor-core-aggregate-runtime.tsv	Count-only spill helper is deleted in favor of one shared test-only aggregate spill boundary; no live Database/window spill owner is claimed.
executor-sum-float64-wave	executor-core-aggregate-runtime	pkg/executor/aggfuncs/func_sum.go	-	-	-	rust/crates/tidb-exec/src/sum_float64.rs,rust/difftests/corpus/coverage/evidence/source/executor-sum-float64-wave.tsv	rust/crates/tidb-exec/src/aggregate/runtime/sum.rs,rust/difftests/corpus/coverage/evidence/source/executor-core-aggregate-runtime.tsv	Standalone float SUM is deleted; typed merge/slide remain test-only beside the live canonical SQL SUM fold.
executor-sum-int-wave	executor-core-aggregate-runtime	pkg/executor/aggfuncs/func_sum_int.go	-	-	-	rust/crates/tidb-exec/src/sum_int.rs,rust/difftests/corpus/coverage/evidence/source/executor-sum-int-wave.tsv	rust/crates/tidb-exec/src/aggregate/runtime/sum.rs,rust/difftests/corpus/coverage/evidence/source/executor-core-aggregate-runtime.tsv	Standalone integer SUM is deleted and retained for the separate SUM_INT checked domain and its test-only sliding boundary; ordinary SQL SUM promotes integers to Decimal.
executor-avg-float64-wave	executor-core-aggregate-runtime	-	pkg/executor/aggfuncs/func_avg_test.go	27	TestMergePartialResult4Avg	rust/difftests/corpus/coverage/evidence/tests/executor-avg-float64-wave.tsv	rust/crates/tidb-exec/tests/core_aggregate_runtime_source.rs,rust/difftests/corpus/coverage/evidence/tests/executor-core-aggregate-runtime.tsv	Partial AVG merge remains explicit under the consolidated owner.
executor-avg-float64-wave	executor-core-aggregate-runtime	-	pkg/executor/aggfuncs/func_avg_test.go	37	TestAvg	rust/difftests/corpus/coverage/evidence/tests/executor-avg-float64-wave.tsv	rust/crates/tidb-exec/tests/core_aggregate_runtime_source.rs,rust/difftests/corpus/coverage/evidence/tests/executor-core-aggregate-runtime.tsv	AVG value behavior remains explicit under the consolidated owner.
executor-avg-float64-wave	executor-core-aggregate-runtime	-	pkg/executor/aggfuncs/func_avg_test.go	48	TestMemAvg	rust/difftests/corpus/coverage/evidence/tests/executor-avg-float64-wave.tsv	rust/crates/tidb-exec/tests/core_aggregate_runtime_source.rs,rust/difftests/corpus/coverage/evidence/tests/executor-core-aggregate-runtime.tsv	AVG state-size evidence moves while allocator parity remains partial.
executor-count-distinct-int-wave	executor-core-aggregate-runtime	-	pkg/executor/aggfuncs/func_count_test.go	115	TestMemCount	-	rust/crates/tidb-exec/tests/core_aggregate_runtime_source.rs,rust/difftests/corpus/coverage/evidence/tests/executor-core-aggregate-runtime.tsv	Distinct COUNT reset/cardinality evidence moves while allocator parity remains partial; the unrelated parallel-distinct test remains in the retained old-owner evidence file.
