-- t0

-- t1
572	0	1	96.73	2023-10-29 17:03:43	2024-04-08 09:53:14	84.99
573	0	1	24.79	2026-09-24 12:28:47	2023-04-16 12:59:41	47.93
574	1	1	31.77	2026-11-12 21:45:11	2026-02-22 00:49:15	79.28
575	1	1	96.7	2025-04-24 21:43:20	2024-03-10 07:58:51	72.31
576	1	1	23.23	2025-10-15 14:57:58	2024-04-23 02:52:41	69.38
577	1	0	24.33	2026-11-25 11:09:30	2024-01-05 09:18:30	18.48
578	0	1	30.96	2026-04-14 10:28:47	2023-06-22 20:24:56	70.95
579	0	1	61.06	2024-04-26 01:29:02	2026-07-08 05:54:03	41.09
580	0	0	96.7	2025-08-11 08:14:38	2025-12-10 02:26:19	88.03
581	0	0	3.01	2025-06-16 10:32:42	2026-03-13 06:31:09	82.87
582	0	1	31.01	2024-04-19 11:59:05	2024-08-04 05:46:09	53.16
583	1	1	49.22	2023-12-24 03:28:55	2024-02-29 18:55:26	47.03
584	1	1	21.74	2025-08-15 11:19:55	2023-04-18 08:37:15	60.77
585	1	0	23.93	2023-03-08 16:40:05	2024-05-18 10:01:03	99.21
586	1	1	3.13	2026-12-09 14:51:44	2023-09-01 18:34:46	96.15
587	0	0	34.66	2025-06-07 15:01:26	2026-07-02 11:41:07	28.77
588	1	1	71.65	2023-02-20 18:53:38	2025-03-03 06:55:01	75.44
589	0	1	56.72	2025-11-09 15:35:12	2024-03-03 08:43:09	20.01
590	1	0	58.85	2024-02-15 17:32:45	2025-11-08 04:28:40	24.67
591	1	1	19.08	2025-04-30 15:47:05	2026-01-08 00:34:15	47.58

-- t2

-- t3

-- t4

-- t5

-- v0
0	NULL

-- v1

-- v2
0	NULL

-- v3
20	1208.10

-- v4
0	NULL

